Timestamp,What is your full name?,What is your level in the following languages? [English],What is your level in the following languages? [Spanish],What is your level in the following languages? [Portuguese],What is your level in the following languages? [French],What is your level in the following languages? [Dutch],What is your level in the following languages? [Catalan],What are your preferences for job location?,What kind of roles are you open to in terms of remote working?,"In you role, how would you prefer to allocate your time between working on backend and working on frontend?","Aside from the ones covered in our curriculum (MERN Stack), do you have additional specific hard-skills? [Java]","Aside from the ones covered in our curriculum (MERN Stack), do you have additional specific hard-skills? [C# / ASP.net]","Aside from the ones covered in our curriculum (MERN Stack), do you have additional specific hard-skills? [Python]","Aside from the ones covered in our curriculum (MERN Stack), do you have additional specific hard-skills? [PHP]","Aside from the ones covered in our curriculum (MERN Stack), do you have additional specific hard-skills? [SQL]","Aside from the ones covered in our curriculum (MERN Stack), do you have additional specific hard-skills? [Angular (Typescript generation)]","Aside from the ones covered in our curriculum (MERN Stack), do you have additional specific hard-skills? [VueJS]","Aside from the ones covered in our curriculum (MERN Stack), do you have additional specific hard-skills? [Firebase]","Aside from the ones covered in our curriculum (MERN Stack), do you have additional specific hard-skills? [AWS]","Aside from the ones covered in our curriculum (MERN Stack), do you have additional specific hard-skills? [Docker / Kubernetes]","Aside from the ones covered in our curriculum (MERN Stack), do you have additional specific hard-skills? [Design Tools (Photoshop, Illustrator...)]","From this list of soft skills, please rank in order the ones you consider you're stronger at [Motivation and ability to overcome problems: I am passionate, have a can-do attitude and proactively look for solutions to every problem.]","From this list of soft skills, please rank in order the ones you consider you're stronger at [Coachability: I am receptive and actively listen and act on the feedback I receive]","From this list of soft skills, please rank in order the ones you consider you're stronger at [Teamwork: I'm able to receive and provide value in a team environment]"
3/11/2019 11:45:07,Student A,Can work in full capacity in this language,Able to read documentation and communicate in a meeting,Able to read documentation and communicate in a meeting,,,,Anywhere in the country where the campus is located,"100% office-based job., 1-2 Days a week, 3+ Days, 100% remote-based job. No physical office.",4,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,,Basic Knowledge: I've played around with it,,,,,,,1,2,3
3/11/2019 11:45:56,Student C,Able to read documentation and communicate in a meeting,Can work in full capacity in this language,,,I'm able to read documentation and have an informal conversation,,Anywhere in the country where the campus is located,"1-2 Days a week, 3+ Days, 100% remote-based job. No physical office.",3,,,,,Basic Knowledge: I've played around with it,,,,Basic Knowledge: I've played around with it,,,3,2,1
3/11/2019 11:45:33,Student B,Can work in full capacity in this language,Can work in full capacity in this language,I'm able to read documentation and have an informal conversation,,,,Anywhere in the world,"1-2 Days a week, 3+ Days, 100% remote-based job. No physical office.",5,,,,,Basic Knowledge: I've played around with it,,,,,,,2,1,3
3/27/2019 12:28:12,Student Falso 1,I'm able to read basic documentation,I'm able to read basic documentation,I'm able to read basic documentation,I'm able to read basic documentation,I'm able to read basic documentation,I'm able to read basic documentation,In the city where the campus is located,100% office-based job.,1,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,Basic Knowledge: I've played around with it,1,2,3
3/27/2019 12:28:42,Student Falso 2,Can work in full capacity in this language,Can work in full capacity in this language,Can work in full capacity in this language,Can work in full capacity in this language,Can work in full capacity in this language,Can work in full capacity in this language,Anywhere in the world,100% remote-based job. No physical office.,10,Advanced Knowledge: I'm comfortable working with it,Advanced Knowledge: I'm comfortable working with it,Advanced Knowledge: I'm comfortable working with it,Advanced Knowledge: I'm comfortable working with it,Advanced Knowledge: I'm comfortable working with it,Advanced Knowledge: I'm comfortable working with it,Advanced Knowledge: I'm comfortable working with it,Advanced Knowledge: I'm comfortable working with it,Advanced Knowledge: I'm comfortable working with it,Advanced Knowledge: I'm comfortable working with it,Advanced Knowledge: I'm comfortable working with it,3,2,1
3/27/2019 12:31:18,Student Falso 3,I'm able to read basic documentation,I'm able to read documentation and have an informal conversation,Able to read documentation and communicate in a meeting,Can work in full capacity in this language,Able to read documentation and communicate in a meeting,I'm able to read documentation and have an informal conversation,In the city where the campus is located,1-2 Days a week,5,Basic Knowledge: I've played around with it,Advanced Knowledge: I'm comfortable working with it,Basic Knowledge: I've played around with it,Advanced Knowledge: I'm comfortable working with it,Basic Knowledge: I've played around with it,Advanced Knowledge: I'm comfortable working with it,Basic Knowledge: I've played around with it,Advanced Knowledge: I'm comfortable working with it,Basic Knowledge: I've played around with it,Advanced Knowledge: I'm comfortable working with it,Basic Knowledge: I've played around with it,1,2,3
3/27/2019 12:32:04,Student Falso 4,I'm able to read documentation and have an informal conversation,I'm able to read basic documentation,I'm able to read documentation and have an informal conversation,I'm able to read basic documentation,I'm able to read documentation and have an informal conversation,I'm able to read basic documentation,In the city where the campus is located,100% office-based job.,2,Basic Knowledge: I've played around with it,,,,Advanced Knowledge: I'm comfortable working with it,,,,,Basic Knowledge: I've played around with it,,1,2,3
3/27/2019 12:34:07,Nombre Falso 1,I'm able to read basic documentation,I'm able to read documentation and have an informal conversation,I'm able to read documentation and have an informal conversation,I'm able to read documentation and have an informal conversation,I'm able to read documentation and have an informal conversation,I'm able to read basic documentation,Anywhere in the country where the campus is located,1-2 Days a week,3,Basic Knowledge: I've played around with it,Advanced Knowledge: I'm comfortable working with it,Advanced Knowledge: I'm comfortable working with it,Advanced Knowledge: I'm comfortable working with it,Advanced Knowledge: I'm comfortable working with it,Advanced Knowledge: I'm comfortable working with it,Advanced Knowledge: I'm comfortable working with it,Advanced Knowledge: I'm comfortable working with it,Advanced Knowledge: I'm comfortable working with it,Advanced Knowledge: I'm comfortable working with it,Basic Knowledge: I've played around with it,1,2,3
3/27/2019 12:35:39,Nombre Falso 2,I'm able to read basic documentation,I'm able to read documentation and have an informal conversation,I'm able to read documentation and have an informal conversation,Able to read documentation and communicate in a meeting,I'm able to read documentation and have an informal conversation,I'm able to read basic documentation,In the city where the campus is located,1-2 Days a week,4,Basic Knowledge: I've played around with it,Advanced Knowledge: I'm comfortable working with it,Basic Knowledge: I've played around with it,Advanced Knowledge: I'm comfortable working with it,Basic Knowledge: I've played around with it,Advanced Knowledge: I'm comfortable working with it,Basic Knowledge: I've played around with it,Advanced Knowledge: I'm comfortable working with it,Basic Knowledge: I've played around with it,Advanced Knowledge: I'm comfortable working with it,Basic Knowledge: I've played around with it,3,2,1
3/27/2019 12:49:17,TODO MAX,Can work in full capacity in this language,Can work in full capacity in this language,Can work in full capacity in this language,Can work in full capacity in this language,Can work in full capacity in this language,Can work in full capacity in this language,Anywhere in the world,100% remote-based job. No physical office.,10,Advanced Knowledge: I'm comfortable working with it,Advanced Knowledge: I'm comfortable working with it,Advanced Knowledge: I'm comfortable working with it,Advanced Knowledge: I'm comfortable working with it,Advanced Knowledge: I'm comfortable working with it,Advanced Knowledge: I'm comfortable working with it,Advanced Knowledge: I'm comfortable working with it,Advanced Knowledge: I'm comfortable working with it,Advanced Knowledge: I'm comfortable working with it,Advanced Knowledge: I'm comfortable working with it,Advanced Knowledge: I'm comfortable working with it,3,2,1
