Timestamp,Email,NOMBRE Y APELLIDOS,What is your level in the following languages? [English],What is your level in the following languages? [Spanish],What is your level in the following languages? [Portuguese],What is your level in the following languages? [French],What is your level in the following languages? [Dutch],What is your level in the following languages? [Catalan],What are your preferences for job location?,What kind of roles are you open to in terms of remote working?,"In you role, how would you prefer to allocate your time between working on UX and working on UI?",Mark the top 3 competencies you think you have ,"From this list of soft skills, please rank in order the ones you consider you're stronger at [Motivation and ability to overcome problems: I am passionate, have a can-do attitude and proactively look for solutions to every problem.]","From this list of soft skills, please rank in order the ones you consider you're stronger at [Coachability: I am receptive and actively listen and act on the feedback I receive]","From this list of soft skills, please rank in order the ones you consider you're stronger at [Teamwork: I'm able to receive and provide value in a team environment]"
6/5/2019 19:11:18,hgfds,student 01,I don't speak it,I don't speak it,I don't speak it,I don't speak it,I'm able to read basic documentation,I'm able to read documentation and have an informal conversation,Anywhere in the world,3+ Days,,"Methodologies: Desing thinking, Google Sprint,..., Usability Testing, Information architecture, Interaction design, Visual design",1,2,3
6/5/2019 19:12:11,q3r3wef,student 02,I don't speak it,I'm able to read basic documentation,I'm able to read documentation and have an informal conversation,Able to read documentation and communicate in a meeting,Can work in full capacity in this language,Able to read documentation and communicate in a meeting,Anywhere in the world,1-2 Days a week,1,"Methodologies: Desing thinking, Google Sprint,..., Usability Testing, HTML & CSS Basic Understanding",1,2,3
6/5/2019 19:13:04,hgfds,student 03,I don't speak it,I don't speak it,I don't speak it,I don't speak it,I'm able to read basic documentation,I'm able to read documentation and have an informal conversation,Anywhere in the world,3+ Days,,"Methodologies: Desing thinking, Google Sprint,..., Usability Testing, Information architecture, Interaction design, Visual design",1,2,3
6/5/2019 19:13:57,q3r3wef,student 04,I don't speak it,I'm able to read basic documentation,I'm able to read documentation and have an informal conversation,Able to read documentation and communicate in a meeting,Can work in full capacity in this language,Able to read documentation and communicate in a meeting,Anywhere in the world,1-2 Days a week,1,"Methodologies: Desing thinking, Google Sprint,..., Usability Testing, HTML & CSS Basic Understanding",1,2,3
6/5/2019 19:14:50,hgfds,student 05,I don't speak it,I don't speak it,I don't speak it,I don't speak it,I'm able to read basic documentation,I'm able to read documentation and have an informal conversation,Anywhere in the world,3+ Days,,"Methodologies: Desing thinking, Google Sprint,..., Usability Testing, Information architecture, Interaction design, Visual design",1,2,3
6/5/2019 19:15:43,q3r3wef,student 06,I don't speak it,I'm able to read basic documentation,I'm able to read documentation and have an informal conversation,Able to read documentation and communicate in a meeting,Can work in full capacity in this language,Able to read documentation and communicate in a meeting,Anywhere in the world,1-2 Days a week,1,"Methodologies: Desing thinking, Google Sprint,..., Usability Testing, HTML & CSS Basic Understanding",1,2,3
6/5/2019 19:16:36,hgfds,student 07,I don't speak it,I don't speak it,I don't speak it,I don't speak it,I'm able to read basic documentation,I'm able to read documentation and have an informal conversation,Anywhere in the world,3+ Days,,"Methodologies: Desing thinking, Google Sprint,..., Usability Testing, Information architecture, Interaction design, Visual design",1,2,3
6/5/2019 19:17:29,q3r3wef,student 08,I don't speak it,I'm able to read basic documentation,I'm able to read documentation and have an informal conversation,Able to read documentation and communicate in a meeting,Can work in full capacity in this language,Able to read documentation and communicate in a meeting,Anywhere in the world,1-2 Days a week,1,"Methodologies: Desing thinking, Google Sprint,..., Usability Testing, HTML & CSS Basic Understanding",1,2,3
6/5/2019 19:18:22,hgfds,student 09,I don't speak it,I don't speak it,I don't speak it,I don't speak it,I'm able to read basic documentation,I'm able to read documentation and have an informal conversation,Anywhere in the world,3+ Days,,"Methodologies: Desing thinking, Google Sprint,..., Usability Testing, Information architecture, Interaction design, Visual design",1,2,3
6/5/2019 19:19:15,q3r3wef,student 10,I don't speak it,I'm able to read basic documentation,I'm able to read documentation and have an informal conversation,Able to read documentation and communicate in a meeting,Can work in full capacity in this language,Able to read documentation and communicate in a meeting,Anywhere in the world,1-2 Days a week,1,"Methodologies: Desing thinking, Google Sprint,..., Usability Testing, HTML & CSS Basic Understanding",1,2,3
